# Replacement-level sensitivity sweep
# generated 2026-08-17T04:46:48.341Z
# baseline: depthCushion=1.2 superflexQbOccupancy=1
# pool: 230 players (QB40 RB70 WR90 TE30)

## 1. Replacement rank by cushion (all league shapes)

shape                  cushion   QB   RB   WR   TE
8T STD 1QB             1.00       8   20   20    8
8T STD 1QB             1.10       9   22   22    9
8T STD 1QB             1.20      10   24   24   10
8T STD 1QB             1.30      10   26   26   10
8T STD 1QB             1.40      11   28   28   11
8T STD SFLEX           1.00      16   20   20    8
8T STD SFLEX           1.10      18   22   22    9
8T STD SFLEX           1.20      19   24   24   10
8T STD SFLEX           1.30      21   26   26   10
8T STD SFLEX           1.40      22   28   28   11
8T STD 2QB             1.00      16   20   20    8
8T STD 2QB             1.10      18   22   22    9
8T STD 2QB             1.20      19   24   24   10
8T STD 2QB             1.30      21   26   26   10
8T STD 2QB             1.40      22   28   28   11
8T STD 2TE             1.00       8   19   19   18
8T STD 2TE             1.10       9   21   21   19
8T STD 2TE             1.20      10   23   23   21
8T STD 2TE             1.30      10   25   25   23
8T STD 2TE             1.40      11   27   27   25
8T HALF 1QB            1.00       8   20   20    8
8T HALF 1QB            1.10       9   22   22    9
8T HALF 1QB            1.20      10   23   25   10
8T HALF 1QB            1.30      10   25   27   10
8T HALF 1QB            1.40      11   27   29   11
8T HALF SFLEX          1.00      16   20   20    8
8T HALF SFLEX          1.10      18   22   22    9
8T HALF SFLEX          1.20      19   23   25   10
8T HALF SFLEX          1.30      21   25   27   10
8T HALF SFLEX          1.40      22   27   29   11
8T HALF 2QB            1.00      16   20   20    8
8T HALF 2QB            1.10      18   22   22    9
8T HALF 2QB            1.20      19   23   25   10
8T HALF 2QB            1.30      21   25   27   10
8T HALF 2QB            1.40      22   27   29   11
8T HALF 2TE            1.00       8   19   20   17
8T HALF 2TE            1.10       9   21   22   19
8T HALF 2TE            1.20      10   23   24   21
8T HALF 2TE            1.30      10   25   26   23
8T HALF 2TE            1.40      11   26   27   24
8T PPR 1QB             1.00       8   20   20    8
8T PPR 1QB             1.10       9   22   22    9
8T PPR 1QB             1.20      10   23   25   10
8T PPR 1QB             1.30      10   25   27   10
8T PPR 1QB             1.40      11   27   29   11
8T PPR SFLEX           1.00      16   20   20    8
8T PPR SFLEX           1.10      18   22   22    9
8T PPR SFLEX           1.20      19   23   25   10
8T PPR SFLEX           1.30      21   25   27   10
8T PPR SFLEX           1.40      22   27   29   11
8T PPR 2QB             1.00      16   20   20    8
8T PPR 2QB             1.10      18   22   22    9
8T PPR 2QB             1.20      19   23   25   10
8T PPR 2QB             1.30      21   25   27   10
8T PPR 2QB             1.40      22   27   29   11
8T PPR 2TE             1.00       8   19   20   17
8T PPR 2TE             1.10       9   21   22   19
8T PPR 2TE             1.20      10   23   24   21
8T PPR 2TE             1.30      10   25   26   23
8T PPR 2TE             1.40      11   26   27   24
10T STD 1QB            1.00      10   25   25   10
10T STD 1QB            1.10      11   28   28   11
10T STD 1QB            1.20      12   30   30   12
