season,game_type,week,away_team,home_team
2025,REG,1,DAL,PHI
2025,REG,1,KC,LAC
2025,REG,1,TB,ATL
2025,REG,1,CIN,CLE
2025,REG,1,MIA,IND
2025,REG,1,CAR,JAX
2025,REG,1,LV,NE
2025,REG,1,ARI,NO
2025,REG,1,PIT,NYJ
2025,REG,1,NYG,WAS
2025,REG,1,TEN,DEN
2025,REG,1,SF,SEA
2025,REG,1,DET,GB
2025,REG,1,HOU,LA
2025,REG,1,BAL,BUF
2025,REG,1,MIN,CHI
2025,REG,2,WAS,GB
2025,REG,2,CLE,BAL
2025,REG,2,JAX,CIN
2025,REG,2,NYG,DAL
2025,REG,2,CHI,DET
2025,REG,2,NE,MIA
2025,REG,2,SF,NO
2025,REG,2,BUF,NYJ
2025,REG,2,SEA,PIT
2025,REG,2,LA,TEN
2025,REG,2,CAR,ARI
2025,REG,2,DEN,IND
2025,REG,2,PHI,KC
2025,REG,2,ATL,MIN
2025,REG,2,TB,HOU
2025,REG,2,LAC,LV
2025,REG,3,MIA,BUF
2025,REG,3,ATL,CAR
2025,REG,3,GB,CLE
2025,REG,3,HOU,JAX
2025,REG,3,CIN,MIN
2025,REG,3,PIT,NE
2025,REG,3,LA,PHI
2025,REG,3,NYJ,TB
2025,REG,3,IND,TEN
2025,REG,3,LV,WAS
2025,REG,3,DEN,LAC
2025,REG,3,NO,SEA
2025,REG,3,DAL,CHI
2025,REG,3,ARI,SF
2025,REG,3,KC,NYG
2025,REG,3,DET,BAL
2025,REG,4,SEA,ARI
2025,REG,4,MIN,PIT
2025,REG,4,WAS,ATL
2025,REG,4,NO,BUF
2025,REG,4,CLE,DET
2025,REG,4,TEN,HOU
2025,REG,4,CAR,NE
2025,REG,4,LAC,NYG
2025,REG,4,PHI,TB
2025,REG,4,IND,LA
2025,REG,4,JAX,SF
2025,REG,4,BAL,KC
2025,REG,4,CHI,LV
2025,REG,4,GB,DAL
2025,REG,4,NYJ,MIA
2025,REG,4,CIN,DEN
2025,REG,5,SF,LA
2025,REG,5,MIN,CLE
2025,REG,5,HOU,BAL
2025,REG,5,MIA,CAR
2025,REG,5,LV,IND
2025,REG,5,NYG,NO
2025,REG,5,DAL,NYJ
2025,REG,5,DEN,PHI
2025,REG,5,TEN,ARI
2025,REG,5,TB,SEA
2025,REG,5,DET,CIN
2025,REG,5,WAS,LAC
2025,REG,5,NE,BUF
2025,REG,5,KC,JAX
2025,REG,6,PHI,NYG
2025,REG,6,DEN,NYJ
2025,REG,6,LA,BAL
2025,REG,6,DAL,CAR
2025,REG,6,ARI,IND
2025,REG,6,SEA,JAX
2025,REG,6,LAC,MIA
2025,REG,6,NE,NO
2025,REG,6,CLE,PIT
2025,REG,6,TEN,LV
2025,REG,6,CIN,GB
2025,REG,6,SF,TB
2025,REG,6,DET,KC
2025,REG,6,BUF,ATL
2025,REG,6,CHI,WAS
2025,REG,7,PIT,CIN
2025,REG,7,LA,JAX
2025,REG,7,NO,CHI
2025,REG,7,MIA,CLE
2025,REG,7,LV,KC
2025,REG,7,PHI,MIN
2025,REG,7,CAR,NYJ
2025,REG,7,NE,TEN
2025,REG,7,NYG,DEN
2025,REG,7,IND,LAC
2025,REG,7,GB,ARI
2025,REG,7,WAS,DAL
2025,REG,7,ATL,SF
2025,REG,7,TB,DET
2025,REG,7,HOU,SEA
2025,REG,8,MIN,LAC
2025,REG,8,MIA,ATL
2025,REG,8,CHI,BAL
2025,REG,8,BUF,CAR
2025,REG,8,NYJ,CIN
2025,REG,8,SF,HOU
2025,REG,8,CLE,NE
2025,REG,8,NYG,PHI
2025,REG,8,TB,NO
2025,REG,8,DAL,DEN
2025,REG,8,TEN,IND
2025,REG,8,GB,PIT
2025,REG,8,WAS,KC
2025,REG,9,BAL,MIA
2025,REG,9,CHI,CIN
2025,REG,9,MIN,DET
2025,REG,9,CAR,GB
2025,REG,9,DEN,HOU
2025,REG,9,ATL,NE
2025,REG,9,SF,NYG
2025,REG,9,IND,PIT
2025,REG,9,LAC,TEN
2025,REG,9,NO,LA
2025,REG,9,JAX,LV
2025,REG,9,KC,BUF
2025,REG,9,SEA,WAS
2025,REG,9,ARI,DAL
2025,REG,10,LV,DEN
2025,REG,10,ATL,IND
2025,REG,10,NO,CAR
2025,REG,10,NYG,CHI
2025,REG,10,JAX,HOU
2025,REG,10,BUF,MIA
2025,REG,10,BAL,MIN
2025,REG,10,CLE,NYJ
2025,REG,10,NE,TB
2025,REG,10,ARI,SEA
2025,REG,10,LA,SF
2025,REG,10,DET,WAS
2025,REG,10,PIT,LAC
2025,REG,10,PHI,GB
2025,REG,11,NYJ,NE
2025,REG,11,WAS,MIA
2025,REG,11,CAR,ATL
2025,REG,11,TB,BUF
2025,REG,11,LAC,JAX
2025,REG,11,CHI,MIN
2025,REG,11,GB,NYG
2025,REG,11,CIN,PIT
2025,REG,11,HOU,TEN
2025,REG,11,SF,ARI
2025,REG,11,SEA,LA
2025,REG,11,BAL,CLE
2025,REG,11,KC,DEN
2025,REG,11,DET,PHI
2025,REG,11,DAL,LV
2025,REG,12,BUF,HOU
2025,REG,12,NYJ,BAL
2025,REG,12,PIT,CHI
2025,REG,12,NE,CIN
2025,REG,12,NYG,DET
2025,REG,12,MIN,GB
2025,REG,12,IND,KC
2025,REG,12,SEA,TEN
2025,REG,12,JAX,ARI
2025,REG,12,CLE,LV
2025,REG,12,PHI,DAL
2025,REG,12,ATL,NO
2025,REG,12,TB,LA
2025,REG,12,CAR,SF
2025,REG,13,GB,DET
2025,REG,13,KC,DAL
2025,REG,13,CIN,BAL
2025,REG,13,CHI,PHI
2025,REG,13,LA,CAR
2025,REG,13,SF,CLE
2025,REG,13,HOU,IND
2025,REG,13,NO,MIA
2025,REG,13,ATL,NYJ
2025,REG,13,ARI,TB
2025,REG,13,JAX,TEN
2025,REG,13,MIN,SEA
2025,REG,13,LV,LAC
2025,REG,13,BUF,PIT
2025,REG,13,DEN,WAS
2025,REG,13,NYG,NE
2025,REG,14,DAL,DET
2025,REG,14,SEA,ATL
2025,REG,14,PIT,BAL
2025,REG,14,CIN,BUF
2025,REG,14,TEN,CLE
2025,REG,14,IND,JAX
2025,REG,14,WAS,MIN
2025,REG,14,MIA,NYJ
2025,REG,14,NO,TB
2025,REG,14,DEN,LV
2025,REG,14,LA,ARI
2025,REG,14,CHI,GB
2025,REG,14,HOU,KC
2025,REG,14,PHI,LAC
2025,REG,15,ATL,TB
2025,REG,15,CLE,CHI
2025,REG,15,BAL,CIN
2025,REG,15,ARI,HOU
2025,REG,15,NYJ,JAX
2025,REG,15,LAC,KC
2025,REG,15,BUF,NE
2025,REG,15,WAS,NYG
2025,REG,15,LV,PHI
2025,REG,15,GB,DEN
2025,REG,15,DET,LA
2025,REG,15,CAR,NO
2025,REG,15,IND,SEA
2025,REG,15,TEN,SF
2025,REG,15,MIN,DAL
2025,REG,15,MIA,PIT
2025,REG,16,LA,SEA
2025,REG,16,PHI,WAS
2025,REG,16,GB,CHI
2025,REG,16,TB,CAR
2025,REG,16,BUF,CLE
2025,REG,16,LAC,DAL
2025,REG,16,CIN,MIA
2025,REG,16,NYJ,NO
2025,REG,16,MIN,NYG
2025,REG,16,KC,TEN
2025,REG,16,ATL,ARI
2025,REG,16,JAX,DEN
2025,REG,16,PIT,DET
2025,REG,16,LV,HOU
2025,REG,16,NE,BAL
2025,REG,16,SF,IND
2025,REG,17,DAL,WAS
2025,REG,17,DET,MIN
2025,REG,17,DEN,KC
2025,REG,17,HOU,LAC
2025,REG,17,BAL,GB
2025,REG,17,SEA,CAR
2025,REG,17,ARI,CIN
2025,REG,17,PIT,CLE
2025,REG,17,JAX,IND
2025,REG,17,TB,MIA
2025,REG,17,NE,NYJ
2025,REG,17,NO,TEN
2025,REG,17,NYG,LV
2025,REG,17,PHI,BUF
2025,REG,17,CHI,SF
2025,REG,17,LA,ATL
2025,REG,18,CAR,TB
2025,REG,18,SEA,SF
2025,REG,18,NO,ATL
2025,REG,18,CLE,CIN
2025,REG,18,IND,HOU
2025,REG,18,TEN,JAX
2025,REG,18,GB,MIN
2025,REG,18,DAL,NYG
2025,REG,18,NYJ,BUF
2025,REG,18,DET,CHI
2025,REG,18,LAC,DEN
2025,REG,18,ARI,LA
2025,REG,18,KC,LV
2025,REG,18,MIA,NE
2025,REG,18,WAS,PHI
2025,REG,18,BAL,PIT
2026,REG,1,NE,SEA
2026,REG,1,SF,LA
2026,REG,1,CHI,CAR
2026,REG,1,TB,CIN
2026,REG,1,NO,DET
2026,REG,1,BUF,HOU
2026,REG,1,BAL,IND
